uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Tony-McCormack.D.2024-11-29,Tony McCormack,Tony,McCormack,False,Tony-McCormack.D.2024-11-29,34th Dáil,dail,Fianna Fáil,Offaly,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Mary-Lou-McDonald.D.2011-03-09,Mary Lou McDonald,Mary Lou,McDonald,False,Mary-Lou-McDonald.D.2011-03-09,34th Dáil,dail,Sinn Féin,Dublin Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-McDowell.D.1987-03-10,Michael McDowell,Michael,McDowell,False,Michael-McDowell.D.1987-03-10,27th Seanad,seanad,Independent,National University of Ireland,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Helen-McEntee.D.2013-03-27,Helen McEntee,Helen,McEntee,False,Helen-McEntee.D.2013-03-27,34th Dáil,dail,Fine Gael,Meath East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Donna-McGettigan.D.2024-11-29,Donna McGettigan,Donna,McGettigan,False,Donna-McGettigan.D.2024-11-29,34th Dáil,dail,Sinn Féin,Clare,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Mattie-McGrath.D.2007-06-14,Mattie McGrath,Mattie,McGrath,False,Mattie-McGrath.D.2007-06-14,34th Dáil,dail,Independent,Tipperary South,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Séamus-McGrath.D.2024-11-29,Séamus McGrath,Séamus,McGrath,False,Séamus-McGrath.D.2024-11-29,34th Dáil,dail,Fianna Fáil,Cork South-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Erin-McGreehan.S.2020-06-29,Erin McGreehan,Erin,McGreehan,False,Erin-McGreehan.S.2020-06-29,34th Dáil,dail,Fianna Fáil,Louth,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Conor-D-McGuinness.D.2024-11-29,Conor D McGuinness,Conor D,McGuinness,False,Conor-D-McGuinness.D.2024-11-29,34th Dáil,dail,Sinn Féin,Waterford,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/John-McGuinness.D.1997-06-26,John McGuinness,John,McGuinness,False,John-McGuinness.D.1997-06-26,34th Dáil,dail,Fianna Fáil,Carlow-Kilkenny,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Denise-Mitchell.D.2016-10-03,Denise Mitchell,Denise,Mitchell,False,Denise-Mitchell.D.2016-10-03,34th Dáil,dail,Sinn Féin,Dublin Bay North,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Kevin-Boxer-Moran.D.2016-10-03,Kevin Boxer Moran,Kevin Boxer,Moran,False,Kevin-Boxer-Moran.D.2016-10-03,34th Dáil,dail,Independent,Longford-Westmeath,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Aindrias-Moynihan.D.2016-10-03,Aindrias Moynihan,Aindrias,Moynihan,False,Aindrias-Moynihan.D.2016-10-03,34th Dáil,dail,Fianna Fáil,Cork North-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Moynihan.D.1997-06-26,Michael Moynihan,Michael,Moynihan,False,Michael-Moynihan.D.1997-06-26,34th Dáil,dail,Fianna Fáil,Cork North-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Shane-Moynihan.D.2024-11-29,Shane Moynihan,Shane,Moynihan,False,Shane-Moynihan.D.2024-11-29,34th Dáil,dail,Fianna Fáil,Dublin Mid-West,constituency,
